#24
## Race Table Data file
## Written Sun Mar 26 22:58:24 2000
## Contains 25 races, Including 5 PC races
## File Format (Data specific to all races)
## See the PC specific section for more details.
#
#
# Race	(string)        // The name of the race
# PC    (word)          // TRUE or FALSE if it's a PC race
# Act   (bitfields)     // Action flags
# Aff   (bitfields)     // Affected by flags
# Off   (bitfields)     // Offensive flags
# Imm   (bitfields)     // Immunity flags
# Res   (bitfields)     // Resistance flags
# Vuln  (bitfields)     // Vulnerability flags
# Form  (bitfields)     // Form flags
# Parts (bitfields)     // Body part flags
#
Race	 human~
PC TRUE
Act x
Aff x
Off x
Imm x
Res x
Vuln x
Form BGKPx
Parts BCDEFGHIJKLx

Race	 trolloc~
PC FALSE
Act EIOfx
Aff Hx
Off DEPx
Imm Mx
Res Lx
Vuln Nx
Form BGKLPx
Parts BCDFGHIJKLQRSx

Race	 fade~
PC FALSE
Act EIOfx
Aff GHOx
Off CDGLx
Imm Mx
Res CLx
Vuln Nx
Form GKPx
Parts BCDFGHIJKRx

Race	 draghkar~
PC FALSE
Act Ix
Aff HLOTXx
Off CFGHIJx
Imm BMx
Res Lx
Vuln Nx
Form EGKLPx
Parts BCDEFGHIJKLOQRx

Race	 bat~
PC FALSE
Act x
Aff SXx
Off GIx
Imm x
Res x
Vuln Sx
Form BFPx
Parts BDEFGIKLOx

Race	 bear~
PC FALSE
Act x
Aff x
Off EFPx
Imm x
Res EIx
Vuln x
Form BFPx
Parts BCDEFGIKLQRx

Race	 cat~
PC FALSE
Act x
Aff Xx
Off GIx
Imm x
Res x
Vuln x
Form BFPx
Parts BDEFGIKLPQRx

Race	 rat~
PC FALSE
Act x
Aff Xx
Off GIx
Imm x
Res x
Vuln x
Form BFLPx
Parts BDEFGIKLPQRx

Race	 centipede~
PC FALSE
Act x
Aff Xx
Off x
Imm x
Res FIx
Vuln Ex
Form BFLx
Parts BDLx

Race	 dog~
PC FALSE
Act x
Aff x
Off Ix
Imm x
Res x
Vuln x
Form BFPx
Parts BDEFGIKLQRx

Race	 dragon~
PC FALSE
Act x
Aff Sx
Off x
Imm x
Res BEHx
Vuln FIx
Form BGTx
Parts BDEFGHIJKLOPQRTx

Race	 fox~
PC FALSE
Act x
Aff Xx
Off GIx
Imm x
Res x
Vuln x
Form BFPx
Parts BDEFGIKLPRx

Race	 lizard~
PC FALSE
Act x
Aff x
Off x
Imm x
Res Lx
Vuln Ix
Form BFRWx
Parts BDEFGILPRx

Race	 pig~
PC FALSE
Act x
Aff x
Off x
Imm x
Res x
Vuln x
Form BFPx
Parts BDEFGIKLx

Race	 rabbit~
PC FALSE
Act x
Aff x
Off GIx
Imm x
Res x
Vuln x
Form BFPx
Parts BDEFGIKLx

Race	 school monster~
PC FALSE
Act x
Aff x
Off x
Imm Bx
Res x
Vuln Cx
Form BKPx
Parts BCDEFGIKLPQx

Race	 snake~
PC FALSE
Act x
Aff x
Off x
Imm x
Res Lx
Vuln Ix
Form BFRSWx
Parts BEFGLMPRTx

Race	 song bird~
PC FALSE
Act x
Aff Sx
Off GIx
Imm x
Res x
Vuln x
Form BFQx
Parts BDEFGILOx

Race	 water fowl~
PC FALSE
Act x
Aff SZx
Off x
Imm x
Res Rx
Vuln x
Form BFQx
Parts BDEFGILOx

Race	 raven~
PC FALSE
Act x
Aff SXx
Off GIx
Imm x
Res x
Vuln x
Form BFLQx
Parts BDEFGILOx

Race	 wolf~
PC FALSE
Act x
Aff Xx
Off GIx
Imm x
Res x
Vuln x
Form BFPx
Parts BDEFGKLPRx

Race	 horse~
PC FALSE
Act x
Aff x
Off GIx
Imm x
Res x
Vuln x
Form BFPx
Parts BDEFGKLPx

Race	 deer~
PC FALSE
Act x
Aff x
Off GIx
Imm x
Res x
Vuln x
Form BFPx
Parts BDEFGKLPx

Race	 fish~
PC FALSE
Act x
Aff x
Off x
Imm x
Res x
Vuln x
Form BVWx
Parts BEGLNTx

#PC
#5
## PC Race Table Data 
## Contains 5 PC races.
## Data Format
#
# Race	  (string)      // The name of the race
# Who     (string)      // The name that shows in 'who'
# Points  (short int)   // Creation point cost
# ClassX  (int array)   // Experience Point multiplier for each class.
# Skill   (string)      // A racial skill
# Stats   (int array)   // Starting stats (minimums)
# MStat   (int array)   // Maximum racial (unmodified) stats.
# Align   (integer)     // Starting alignment
# Size    (enum)        // TINY/SMALL/MEDIUM/LARGE/HUGE/GIANT
#
Race	 human~
Who 	 Hum~
Points 0
ClassX 100 100 100
Stats 13 13 13 13 13 13
MStat 24 24 24 24 24 24
Align 500
Size  2

Race	 ogier~
Who 	 Ogr~
Points 4
ClassX 300 175 150
Skill bash~
Skill disarm~
Skill dodge~
Skill parry~
Skill fast healing~
Stats 18 16 15 15 18 18
MStat 25 20 25 18 22 22
Align 1000
Size  2

Race	 trolloc~
Who 	 Trl~
Points 25
ClassX 300 200 100
Skill bash~
Skill berserk~
Skill second attack~
Stats 16 10 12 13 15 16
MStat 23 12 14 16 23 23
Align -1000
Size  2

Race	 fade~
Who 	 Fad~
Points 50
ClassX 400 100 125
Skill detect hidden~
Skill dodge~
Skill parry~
Skill compell~
Stats 18 13 15 18 20 20
MStat 23 17 18 20 23 24
Align -1000
Size  2

Race	 Draghkar~
Who 	 Drk~
Points 70
ClassX 100 150 400
Skill detect hidden~
Skill dodge~
Skill parry~
Skill compell~
Stats 15 13 15 18 13 17
MStat 17 17 18 20 16 20
Align -1000
Size  2

#0

End
